Designator,Mid X,Mid Y,Rotation,Layer
BT1,150.0,-81.0,0.0,bottom
C1,150.0,-67.0,180.0,bottom
C10,176.7,-120.6,225.0,bottom
C11,173.0,-125.0,180.0,bottom
C12,162.0,-131.0,180.0,bottom
C13,150.0,-136.0,180.0,bottom
C14,138.0,-131.0,180.0,bottom
C15,127.0,-125.0,180.0,bottom
C16,118.0,-117.0,0.0,bottom
C17,111.0,-108.0,180.0,bottom
C18,105.0,-99.0,0.0,bottom
C19,101.0,-89.0,180.0,bottom
C2,162.0,-62.0,0.0,bottom
C20,101.0,-78.0,0.0,bottom
C21,105.0,-67.0,0.0,bottom
C22,114.0,-59.0,0.0,bottom
C23,126.0,-57.0,0.0,bottom
C24,138.0,-62.0,0.0,bottom
C25,162.8,-105.975,270.0,bottom
C26,164.2,-105.475,270.0,bottom
C27,186.949999,-102.812502,90.0,bottom
C28,183.949999,-98.237502,270.0,bottom
C29,172.2,-112.0,180.0,bottom
C3,174.0,-57.0,0.0,bottom
C30,171.6,-113.3,180.0,bottom
C31,137.43,-109.875,180.0,bottom
C32,169.1,-95.9,270.0,bottom
C33,176.2,-93.819238,180.0,bottom
C34,180.3625,-101.95,270.0,bottom
C35,174.475,-102.0,270.0,bottom
C36,140.5,-67.8375,270.0,bottom
C37,140.5,-65.575,90.0,bottom
C38,138.625,-111.8,90.0,bottom
C39,137.125,-112.425,270.0,bottom
C4,186.0,-59.0,0.0,bottom
C40,134.2075,-109.7175,180.0,bottom
C5,195.0,-67.0,180.0,bottom
C6,199.0,-78.0,180.0,bottom
C7,199.0,-89.0,180.0,bottom
C8,195.0,-99.0,180.0,bottom
C9,189.0,-108.0,180.0,bottom
D1,150.0,-67.0,0.0,top
D10,182.0,-117.0,0.0,top
D11,173.0,-125.0,0.0,top
D12,162.0,-131.0,0.0,top
D13,150.0,-136.0,0.0,top
D14,138.0,-131.0,0.0,top
D15,127.0,-125.0,0.0,top
D16,118.0,-117.0,180.0,top
D17,111.0,-108.0,0.0,top
D18,105.0,-99.0,180.0,top
D19,101.0,-89.0,0.0,top
D2,162.0,-62.0,180.0,top
D20,101.0,-78.0,180.0,top
D21,105.0,-67.0,180.0,top
D22,114.0,-59.0,180.0,top
D23,126.0,-57.0,180.0,top
D24,138.0,-62.0,180.0,top
D25,188.7,-113.1,135.0,top
D26,188.749999,-102.912501,90.0,bottom
D27,177.587812,-110.580626,45.0,bottom
D3,174.0,-57.0,180.0,top
D4,186.0,-59.0,180.0,top
D5,195.0,-67.0,0.0,top
D6,199.0,-78.0,0.0,top
D7,199.0,-89.0,0.0,top
D8,195.0,-99.0,0.0,top
D9,189.0,-108.0,0.0,top
L1,190.7,-98.2,270.0,bottom
MK1,165.7,-102.7,270.0,bottom
Q2,193.9,-91.3,90.0,bottom
R1,161.875,-110.575,180.0,bottom
R10,169.2,-109.2,225.0,bottom
R11,134.1825,-108.1425,0.0,bottom
R12,162.0,-95.95,0.0,bottom
R14,183.3,-108.9,180.0,bottom
R15,162.8,-101.8,270.0,bottom
R16,168.1,-110.3,225.0,bottom
R17,167.0,-111.4,225.0,bottom
R2,166.236,-99.858,0.0,bottom
R3,168.299999,-93.519239,180.0,bottom
R4,169.1,-99.2,270.0,bottom
R5,180.5,-107.9,270.0,bottom
R7,184.5,-102.9,90.0,bottom
R8,183.000001,-102.9,270.0,bottom
R9,194.0,-88.2,0.0,bottom
SW1,188.4,-90.5,270.0,top
TOUCH_4,123.9,-106.1,0.0,top
U1,150.0,-107.2,180.0,bottom
U2,173.9,-97.619239,180.0,bottom
U3,177.4,-102.8,180.0,bottom
U4,186.5,-99.0,270.0,bottom
U5,173.1,-107.6,135.0,bottom
U6,143.3,-66.675,90.0,bottom
USBC1,181.828554,-116.245028,315.0,bottom
